start	end	text
641200	644320	Now, the first extension that we're gonna enable
644320	646240	is called error lens.
646240	648880	And you need to go here on the left-hand side,
648880	651520	find extensions and just type error,
651520	656520	if I can type error and just say error lens, just like that.
656520	659920	Click on error lens and just press enable or install,
659920	660960	I believe it's called.
660960	664720	So error lens allows you to see errors in line
664840	667560	without you having to click on a specific line
667560	669400	of error, basically.
669400	674160	So it expands the entire error as you're coding,
674160	676040	you will probably have some errors in your code.
676040	678040	That error will be then displayed right there
678040	679920	in front of your face in its entirety.
679920	682400	So you don't have to press a little small button
682400	684800	to be able to see that complete error.
684800	687920	So it's a fantastic extension, to be honest with you.
688800	691000	Now, the other thing that you'll need
691000	695080	is something called bracket pair colorizer.
695080	697160	And that bracket pair colorizer is something
697160	701280	that is already installed in Visual Studio code.
701280	704840	It used to be an extension that you could download,
704840	708080	but it was so popular that Microsoft has added that
708080	710080	internally to Visual Studio code.
710080	711960	So you don't have to do that manually,
711960	713480	sorry, by installing an extension.
716200	717920	Now that we've talked about that,
717960	720840	the next step is to actually install
720840	723240	Flutter and Dart extensions.
723240	726600	So here, just type Flutter.
728040	728880	Let's do that.
728880	732800	And then just click on the install button.
732800	733800	I've already installed that,
733800	735880	so there's a disable button for me here.
736800	738560	The Flutter extension,
738560	740840	and then you'll also need the Dart extension.
740840	743760	So just type Dart and then install that as well.
744760	748760	So after these two installations,
750320	755320	we also need to install another great extension called block.
755320	757120	B-L-O-C.
758240	760600	I'm not gonna go into the details of what block is,
760600	764520	because you will learn about block a lot later in the course,
764520	768440	but it is just a great extension to have.
768440	770360	As we go on, you're gonna learn about it.
770400	773440	So I can't really explain exactly what it is right now,
773440	774720	but just install it,
774720	777280	and I will tell you more about block later
777280	778600	in the course, I promise.
780040	785040	So that was basically installing a block.
786280	788840	Now, when you start up your Visual Studio code,
788840	791520	it probably doesn't look like the way it does for me.
791520	794320	And that is because I have a custom theme
794320	798320	installed on my Visual Studio code called Tokyo Night.
798520	803520	It is a very, very mellow, dark theme, as it's called.
805120	807800	And themes in Visual Studio code can be installed
807800	809760	just like you install an extension.
809760	812320	So if you like my theme,
812320	814680	you're more than welcome to go into extensions
814680	819680	and then search for Tokyo Night and just install it.
820000	823960	So it has different theme colors as well.
823960	826400	This is the one I use, Tokyo Night.
826400	829320	Actually, I use this one, Tokyo Night.
829320	834320	So if you want that theme, please go ahead and install it.
836800	838720	And now that we've talked about that,
838720	843720	we come to the last point that I wanted to discuss basically
844080	848080	before we wrap up this chapter, which is our chapter two.
848080	851440	So now that we talked about a little bit of setup
851440	853680	for setting up your Flutter installation
853680	856040	and setting up your Flutter installation,
856040	857480	and setting up your text editor,
857480	860080	which in this case is Visual Studio code.
861000	863000	In the next chapter, which is chapter three,
863000	866360	we're gonna talk about Dart programming.
866360	869400	So before we actually jump into writing Flutter applications,
869400	874120	we're gonna talk about how to write code in Dart,
874120	876920	or at least understand like the basics of Dart.
876920	880320	So without further ado, let's close up this chapter
880320	883040	and I'll see you in the next one.
883040	885560	Hello everyone, and welcome to the third chapter
885560	886720	of our Flutter course.
887640	889760	In this chapter, I thought maybe we could focus
889760	892160	a little bit on, actually not a little bit,
892160	894520	but quite a lot on Dart.
894520	896400	As you know from the previous chapter,
896400	899200	we know now that Dart is the programming language
899200	903000	that powers Flutter.
903000	907000	So it would be a good idea for us at least
907000	909440	to get a little bit of introduction to Dart,
909440	912840	how it works, a little bit of its internals,
912840	915400	different data types, functions, methods, classes,
916240	919080	but this chapter as well, just like the entire course,
919080	920880	I'm kind of assuming that you haven't done
920880	922920	any programming at all before.
922920	926520	So I'm gonna take things very slowly,
926520	929720	take the concepts one at a time, introduce them to you.
930760	933840	So, and I will give you some references to read more
933840	938840	about the topics as we won't have really that much
939160	943120	of a time in this course to go into detail about everything.
943120	948120	So the goal of this chapter is to basically get you started
948840	953840	with programming Dart and writing your apps
954600	956160	then later for Flutter.
958360	963360	In order to do that, we need to have a project set up.
965200	967680	And by project, I mean, you need to have some kind
967680	971600	of a playground set up so that you can start writing
971600	974440	Dart code and then you can try it on, for instance,
974440	978400	a telephone or a simulator or what have you.
978400	982800	Now, a lot of people would rather go to Dart pad
982800	984560	as we saw in the previous chapter
984560	987760	and start writing their code in Dart pad.
988680	989800	That's one way of doing it.
989800	994800	But since in this course, we're gonna write an application,
996480	998720	release it for iOS and Android,
999680	1004320	it is safe to say that we can literally start actually
1004320	1008640	creating our real project here and now
1008640	1011160	so that we can then later build upon it
1011160	1013640	rather than writing all our code in Dart pad
1014680	1018560	because you can then by doing, by writing your code
1018560	1021080	in an actual Flutter project, you can get used
1021080	1025240	to how we work with Flutter as a whole.
1025240	1027920	So I think this is a little bit of a time invested
1027920	1031160	into later chapters as well, where we're gonna work
1031160	1033240	and continue working on the same project.
1033240	1035680	So we have to just set it up once.
1035680	1040520	But at the same time, there is a little bit of a value
1040520	1045120	in not blending in too much of our test code,
1045120	1046760	like what we're doing in this chapter
1046760	1051000	with what we're gonna do later in the actual application,
1051000	1051840	if you know what I mean.
1051840	1055720	So I think it would be better now for us to set up
1055720	1060040	just a test application and then keep working on it.
1060040	1061840	And then later on, when we start doing
1061840	1062920	the actual application,
1062920	1064720	then we create a separate project for that.
1064720	1069720	So now let's then do that together.
1071600	1074920	So I'm gonna bring my face down here
1074920	1077240	so you see the entire screen.
1078960	1082240	I'm then going to create a new terminal window
1082240	1084800	and bring it up here on the screen so you can see it.
1084800	1085880	And I'm gonna increase the font
1085880	1088720	so it's a little bit easier to spot when I'm typing.
1090680	1093960	So let's go to a folder where you try to,
1093960	1097400	or where you keep your projects.
1097400	1100440	For me, I go to dev projects
1100440	1102960	and I have a folder there called Flutter.
1102960	1107960	So I try to put all my Flutter projects in here.
1109480	1113320	Then in order to create a new Flutter project,
1113320	1117680	what you have to do is to issue the Flutter create command.
1117680	1120960	And this create command is already shipped inside Flutter.
1120960	1123560	So if you say which Flutter,
1123560	1126280	this is gonna go and find the actual Flutter binary.
1126280	1127840	If you remember from the previous chapters
1127840	1129680	where we installed Flutter.
1131040	1132440	It's gonna find the Flutter binary
1132440	1135160	and then call the create command on it.
1135160	1138080	So if you say Flutter create,
1138080	1140720	it expects you to kind of like provide it
1140720	1143280	with some sort of a name of a project.
1144240	1146600	So let's just say, learning Dart.
1151200	1154000	So that's the binary, that's the command
1154000	1156120	and that is the name of the project.
1156120	1161120	So this is the easiest way to create a new Flutter project
1161360	1162440	in my opinion at least.
1162440	1164320	So let's execute that command.
1167920	1169160	It's gonna do its thing.
1170280	1172440	And what I'm gonna do then is to,
1172440	1176840	I've created a new folder called learning Dart.
1176840	1180280	So let's go and I'm gonna say, CD learning Dart.
1181480	1185280	And then I'm going to issue a command called code dot.
1185280	1189400	And I can actually bring this a little bit to the right
1189400	1192400	so you can, and also do it like this
1192400	1194000	so you can see what I'm typing.
1195720	1198800	As you can see, I've written code dot.
1198800	1201800	And what code does is that it brings up Visual Studio code.
1201800	1204480	So it's just like a command that you can issue
1204480	1206320	in order to bring up Visual Studio code.
1206320	1211320	And if I just bring up Visual Studio code
1211760	1214840	the way it is right now, and for instance, you can see it,
1214840	1216040	you can't see it right now
1216040	1219600	but it's because I have a separate screen here.
1219600	1222840	I'll bring up Visual Studio code as you can see here by hand.
1224040	1228120	There is a good extension or there is an ability
1228120	1233120	for Visual Studio code to install this code shortcut
1233160	1234640	for you in terminal in your path.
1234640	1239640	So if you say which code, it just says user local bin code.
1240080	1242840	So it's just an executable that allows you then
1242840	1245640	to open up Visual Studio code with a path.
1245640	1248120	Like, so you can say open up Visual Studio code
1248120	1249640	in this folder.
1249640	1254160	So you can just say code dot, so.
1255160	1257000	And you can do that in Visual Studio code.
1257000	1259040	You can allow that to be installed
1259040	1263680	by doing command shift P on Macintosh or control shift P,
1263680	1267960	I believe in windows and Linux.
1267960	1270800	And there's this little command here that says shell command
1270800	1272640	install code command in path.
1272640	1275480	So if you execute that once, then it's already set up for you.
1275480	1277200	You don't have to do that anymore.
1277200	1281760	So if you'd like to be able to say code dots in terminal
1281760	1285640	and open the current folder within Visual Studio code
1285640	1288120	without you having to open Visual Studio code manually
1288120	1291480	and then doing file open, then I suggest
1291480	1294480	that you do command shift P or control shift P
1294480	1297080	in Visual Studio code, depending on which operating system
1297080	1298960	you're using and then choosing shell command
1298960	1302440	install code command in path.
1302440	1305040	So I've already done that, so I can just say code dot
1306240	1308160	and I'll bring this up here.
1309200	1312760	So as you can see, this is the basics of a simple
1315880	1319120	Flutter project that you create with Flutter Create.
1319120	1322560	Now, Visual Studio code has a built-in terminal,
1322560	1325320	so I don't have to have this terminal window open anymore.
1325320	1327720	So I'm just going to close it.
1327720	1329480	And I'm going to make this full screen,
1329480	1332280	increase the size a little bit so you can see better.
1332280	1337040	And perhaps I could even remove this Flutter logo on top right
1337040	1340280	so you can see the content a little bit better as well.
1341120	1346120	So that's the creation of our simple Flutter project.
1346120	1349560	Now, in order for this Flutter project to run
1349560	1352360	and you be able to run this application
1352360	1355560	and keep testing your project,
1355560	1357000	you would have to select a target.
1357000	1359440	And you do that with command shift P
1359440	1362320	and then choosing Flutter select device.
1362320	1366200	So you can just say Flutter select device, enter.
1366200	1368400	Command shift P is on Macintosh and control shift P
1369400	1371440	I believe is in Linux and Windows.
1371440	1374640	So do that, command shift P is a very important command.
1374640	1376760	You're going to use it quite a lot in this course.
1376760	1378120	So just learn that please.
1379760	1381120	Then I'm going to say select device
1381120	1384680	and I'm going to choose, since I'm on a Macintosh
1384680	1387600	and as you saw earlier, we have Xcode already installed.
1387600	1391440	Xcode comes also with the entire iOS SDK
1391440	1393400	and also with the simulator.
1393400	1397400	I can choose to run our application on iOS simulator
1398400	1402160	or I can choose to run it on an actual phone.
1402160	1406520	Now for this, I believe,
1406520	1409640	I don't know if we've talked already about SCRCPY
1409640	1410480	to be honest with you.
1410480	1412800	I'm just going to search in my notes
1414320	1415920	to see if you've talked about that.
1415920	1420760	And if you just give me one second, please just check here.
1420760	1423120	I believe we're going to set it up in chapter six.
1423120	1425880	So we haven't set up SCRCPY yet.
1425880	1428280	So for that purpose, I'm just going to say
1429160	1431560	select device and I'm just going to say start iOS simulator.
1431560	1433240	So that is going to, as you can see,
1433240	1435080	start up iOS simulator.
1435080	1437640	And that for now is like the best way
1437640	1439560	for us to test our application.
1439560	1443000	So while this is connecting,
1443000	1445960	I can show you a little bit around as well.
1445960	1448160	We have, as you can see, lots of files here
1448160	1449120	already created for us.
1449120	1451600	We're going to go through some of these.
1451600	1452920	But one of the most important files
1452920	1454840	that you're going to need to get used to
1454840	1457640	is this lib slash main.dart.
1457640	1461160	And this is where the majority of the code is written.
1461160	1465440	So this is its contents at the moment.
1466800	1468840	Let's see what it's doing with the simulator.
1468840	1470720	I'm just going to have a look here.
1474000	1476160	It's taking a little bit longer than expected.
1476160	1478640	So what I'm going to do is I'm just going to
1478640	1480440	kill the iOS simulator manually.
1480440	1482960	This usually doesn't happen, but that's okay.
1482960	1484640	If it does happen, then you know how to deal with it.
1484640	1485920	Just close the simulator.
1486920	1490320	And then I'm just going to go to Command-Shift-P,
1490320	1494320	select device, and then start iOS simulator fresh.
1494320	1496160	So it's starting right now.
1498360	1500400	Okay, so that's our simulator.
1500400	1502440	And I'm actually going to decrease the size of this
1502440	1507440	a little bit since I realized that it is a very large font.
1507480	1510360	So this is our main.dart file.
1510360	1514800	This is like where the Flutter command line command
1515160	1518440	has created, it is the file that has been created for us.
1518440	1520200	So we don't have to play around with it too much,
1520200	1522800	to be honest with you, at the moment.
1522800	1524520	For the purpose of this chapter,
1524520	1528200	we're just going to have a look at basically kind of like
1528200	1532440	exploiting this code so that we can inject our code into it
1532440	1533880	so we can learn Dart a little bit.
1533880	1535840	So you don't have to understand all of this code
1535840	1536800	the way it is right now.
1536800	1538600	There's lots of comments and et cetera.
1540600	1542560	So that's that part.
1542560	1544640	So now that we're here and then you can see
1545480	1546920	we have a little simulator here.
1546920	1549880	And in order to run this application on this simulator,
1549880	1553320	since you've already done the Flutter select command,
1553320	1557000	you just go to run and you say run without debugging for now.
1557000	1560640	So since the simulator is already selected,
1560640	1562960	then it understands that it needs to compile this project
1562960	1564960	for my simulator.
1564960	1569960	So, and we're just going to give it some time
1569960	1571440	depending on your machine and like,
1571440	1573520	what do you have for specifications on your machine?
1573520	1577080	This command could take anywhere between a couple of seconds
1577080	1580120	to maybe 30 seconds or even more.
1580120	1581720	And I'm not sure how long it's going to take
1581720	1583880	for a fresh Flutter project, to be honest with you,
1583880	1585440	to start running on the simulator,
1585440	1588640	but it took about 21 seconds or 22 seconds.
1591360	1593640	I will bring up the project now.
1593640	1595600	And this is like the basic Flutter project.
1595600	1597440	I'm not going to go into details about how it works,
1597440	1600320	but you can press the plus button if you want to.
1600320	1601160	But what I'm going to do,
1601160	1602840	I'm just going to close this widget inspector
1602840	1605640	that was opened automatically.
1605640	1608800	And I'm just going to bring this a little bit down
1608800	1611920	so that we can see the debug console, okay?
1611920	1615920	So that's for setting up our project.
1615920	1617200	So that part is done.
1617200	1620120	Now, the first thing that we need to talk about
1620120	1625120	when we start talking about Dart is the concept of keywords.
1626840	1629080	Now, since I'm assuming that you haven't done
1629080	1632000	any programming language in any other place before,
1633360	1635560	you need to understand what keywords are.
1636720	1639080	They're very important in understanding
1639080	1640440	any programming language, basically.
1640440	1643440	And keywords are concisely explained.
1646400	1651400	They're words that are reserved for the programming language
1653000	1657520	that you cannot use for anything else
1657520	1660040	than what the programming language intends those words
1660040	1661360	to be used as.
1661480	1664480	I know that sounds a little bit difficult,
1664480	1668120	but I mean, there's no real good analogy
1668120	1669720	in like if you're coming from Figma,
1669720	1671240	if you're coming from a design world,
1671240	1674720	what a keyword could be because in a design world,
1674720	1679520	you're not really talking in terms of code with your product
1679520	1684520	or with your software where you're designing your stuff.
1685160	1687720	But when you come to programming language,
1687720	1688920	as you know, it's a language.
1688920	1692960	So words mean stuff in a programming language.
1692960	1696480	So a keyword is, as its name indicates,
1696480	1699080	is a word that has a special meaning
1699080	1701760	in that particular language.
1701760	1705200	And I'll provide a link here for you that you can check out,
1705200	1710200	but I'm gonna open it up and bring it to the screen here,
1711480	1713960	increase the size a little bit so we can see better.
1715640	1717040	Have a look at my screen here.
1717360	1719720	And you can see this is part of the documentation
1719720	1721240	for Dart programming language
1721240	1723560	that explains what keywords are in Dart.
1723560	1724800	And you can see there are some words
1724800	1727840	that have special meaning like show, import,
1727840	1730360	extends, async, await, break.
1730360	1732520	So you can say that the language,
1732520	1736360	the Dart language is made out of these keywords.
1736360	1737240	That is pretty much it.
1737240	1739400	It's just like series of keywords,
1739400	1741600	like the things that you tell the language that,
1741600	1743080	hey, I wanna do something.
1743080	1744320	And then it says, okay, what do you wanna do?
1744320	1746440	Then you say, okay, I wanna do this or this or this.
1746440	1750280	So special words for the programming language
1750280	1752920	so that it understands what you mean, basically.
1755240	1757040	So that's for keywords.
1758080	1760840	For now, we don't have to really go into so much more details
1760840	1762240	about what a keyword is, but for now,
1762240	1765160	just understand that a keyword is a special word
1765160	1768400	in the programming language's brain,
1768400	1769800	kind of so that you can talk to it.
1769800	1771920	It's your interface with the programming language
1771920	1774240	to make it understand what you wanna do, okay?
1775240	1777120	And please check out the link that I provided here
1777120	1778760	to understand more about keywords.
1782160	1784040	Okay, so we've talked about keywords.
1784040	1785480	I'm just gonna check it in my notes
1785480	1788600	so that we know we've talked about it.
1791280	1794480	Now, the next concept that we need to talk about
1794480	1796800	are data types.
1800720	1803000	If you, for instance, come from a design background,
1803000	1806080	then you have different tools to work with.
1806080	1809200	For instance, you may have, in your design system,
1809200	1811800	whatever you're using, if you're using product from Adobe
1811800	1814680	or if you're using, for instance, Figma or whatever,
1814680	1816760	Visio or whatever tool you're using,
1816760	1819440	then there's a set of components that you can work with.
1819440	1821600	For instance, you can drag in a text field
1821600	1824840	or you can drag in an image field, sorry, an image,
1824840	1829840	or you can, for instance, assign a color to a text.
1830240	1835240	So these are all things that you can do with that software.
1836200	1838920	Now, a data type in a programming language,
1838920	1843920	like Dart, is the type of a thing, for instance.
1844080	1847480	You would say, I have some data in my mind.
1847480	1848320	Okay, what is it?
1848320	1851080	It's the first name of my friend.
1851080	1855080	Okay, his name is Jack or whatever.
1855760	1858440	And then you would say, okay, what type is Jack?
1858440	1859280	Is it a number?
1859280	1863440	No, is it like, is it a list of things?
1863440	1866880	Well, yeah, it's a list of characters, yeah.
1867920	1870880	Okay, then that is this data type.
1872000	1875680	Or you could say, I'm thinking about my age.
1875680	1879160	My age is, let's say I'm 37.
1879160	1880800	Okay, what is 37?
1880800	1881960	Is it a list of things?
1881960	1883440	Well, yeah, kind of.
1883960	1887560	It's a list of numbers, a list of digits,
1887560	1890200	but it's also in itself a number.
1890200	1895160	So then there has been this convention
1895160	1896960	in different programming languages,
1896960	1898880	and every programming language pretty much
1898880	1901560	that you can use these days has this concept of data types.
1901560	1903720	Data type is, as its name indicates,
1903720	1908720	a specific name assigned to a series,
1908720	1913720	to a series, a specific name assigned to a data
1915760	1919760	that is bound to be of a specific type as well.
1919760	1921600	So for instance, in Dart,
1921600	1924600	you have data types called integers,
1924600	1927400	or you have strings, or you have arrays and sets,
1927400	1928600	which we'll talk about soon,
1928600	1931200	but a data type just for now, no,
1931200	1934120	it's just a stamp on a piece of data
1934120	1936360	to say that you're of this specific type.
1937360	1941280	So you could think of a data type as a nationality.
1941280	1943520	You could say like every person coming from Sweden
1943520	1946080	is Swedish, boom, that's his data type.
1946080	1948800	So it's just a categorization of data
1948800	1950720	based on their appearance
1950720	1953280	or based on what they actually hold.
1953280	1955640	So for instance, you can say,
1955640	1957880	here's a university full of engineers,
1957880	1961280	and these are software engineers,
1961280	1962440	these are mechanical engineers,
1962440	1964600	so the software engineer is a data type
1964600	1966960	or is a person type or category type.
1966960	1971280	So putting stamps on things based on the categorization
1971280	1972880	is kind of what data type does.
1972880	1976920	And in short, I mean, you just have to know
1976920	1978520	that it's just a categorization of things
1978520	1980560	based on what they hold.
1980560	1984960	So, and there's a website that you can read
1984960	1988400	about Dart data types, and it's right here.
1988400	1992600	I don't know if I've provided it here on the link below,
1992640	1995080	as you can see Dart Core Library HTML, so.
1996720	2000440	And here you can read more about Dart data types,
2001560	2003440	but we're not gonna go into so much detail
2003440	2004560	about all of these right now.
2004560	2007280	Just know that data type in Dart is,
2007280	2010520	or any programming language basically that has data types
2010520	2012840	is a categorization of data
2012840	2015040	based on their appearance or contents.
2017560	2020400	Now, let's talk a little about
2020400	2022360	something called constants in Dart.
2023600	2027800	A constant, usually in programming languages
2027800	2032800	are values whose value cannot be changed.
2033920	2037560	That's a little bit meta, but let's say for instance,
2037560	2042560	the value of 10 is a number.
2044920	2046440	It cannot be changed.
2046440	2048920	10 is 10, and it will always be 10.
2049560	2053800	Or your name, that is a constant.
2053800	2055280	Although you can go and change it,
2055280	2057560	but as long as that is your name, it is a constant.
2057560	2062560	So, another example of a, I mean,
2062840	2064960	there are so many values that can be constants,
2064960	2067920	which will actually be quite abstract for me
2067920	2071920	to explain right now, but just know that a constant
2071920	2075800	is a value whose internal data cannot change
2075800	2080400	during where you're writing your program,
2080400	2083320	and also during when you're running your program.
2083320	2087680	So, that is kind of what a constant is.
2089280	2093320	But there is also this notion of a compile time constant
2093320	2094720	and a runtime constant.
2094720	2097760	And I mean, you don't have to know about
2099200	2101560	like those different types of constants right now,
2101560	2104520	just because like in Dart, a constant is a constant,
2104520	2108520	whether it's runtime or compile time is a constant,
2108520	2110240	it's just a constant, as you'll see soon.
2110240	2114720	But I still believe that it's important to understand
2114720	2117200	the difference between compile time and runtime.
2119000	2120800	When you're talking about programming,
