start	end	text
746920	750360	So it is an optional string, but it has a value, which is bar.
751000	754520	Then when you come to this line number nine, then you're telling Dart,
754520	758680	look, if name is null, then assign middle name to it.
758680	762360	And Dart says, well, name is a null, it is bar.
762360	764440	So I'm not going to assign middle name to it.
764440	766920	And then it goes to line number 10 and does the exact same thing.
766920	767240	All right.
768440	772120	So that is like the null aware assignment operators.
772120	774760	And it is useful.
775640	778360	I personally, I mean, to be honest with you, I,
778360	782200	as you could kind of guess, I don't use this operator so often.
782200	783000	It is there.
783960	788680	And I have no shame in saying that pretty much in none of my programs have I had to use this.
789320	791880	It is present for you to use.
791880	793880	It is available if you want to use it.
793880	799320	So just don't be like me, but try to remember the syntax is question mark, question mark equal.
802440	805640	And I'm going to actually fix that in my notes as well,
805640	808280	that it is question mark, question mark equal.
811480	813880	And I'm going to check it in the notes that we've talked about it.
814360	825800	Now, let's talk a little bit about conditional method or property access or conditional invocation.
827080	832520	Now, as we talked about in the previous chapter, with Dart, as like many other
832520	840920	programming languages, you can use the dot syntax in order to access or drill down inside properties
840920	843640	and methods or functions inside other objects.
843640	849560	As we saw, for instance, with the case of lists in Dart, you can say,
850440	853720	I have a list and then you want to get its length, then you would say
855000	857640	the name of the list dot length.
857640	861160	And that drills down inside that list and gets the length property.
863160	867160	However, as you saw earlier in this chapter, in chapter number five,
867960	872280	even lists or pretty much any data type in Dart can also be nullable.
872760	879160	So how do you access properties of a null object?
879160	880680	So let's have a look at that now.
882040	887800	Let's say I'm going to actually delete these properties, the parameters that come here to
887800	893800	our function, and I'm going to say, and I'm going to go down here and remove these parameters as
894200	894440	well.
896440	901800	And in here, let's just create an optional list of strings.
902360	907640	Not optional list of optional strings, but just an optional list of valid strings.
907640	907880	Okay.
907880	914760	So I'm just going to say list of strings as an optional list, and I'm just going to say names,
915320	918120	and that is equal to, let's just say at the moment, foo.
918120	918440	All right.
919400	929960	Now, here, if you try to say final length of names or number of names is names, length, okay?
931320	936040	If you then look at the data type here, I mean, we could actually say this is null.
938440	947160	And you can see here, Dart actually is allowed to or is able to give you an error knowing that this
947240	950040	list is null at the moment.
950040	954280	However, if you accept it, I think it's actually better that we accept this value as a parameter
954280	960520	so that Dart analyzer cannot be too smart about making assumptions about what this actually is
960520	961160	at the moment.
962040	968680	So you can see the analyzer is telling you it cannot be unconditionally accessed because
968680	974200	the receiver can be null, and that means, yeah, exactly as it says, it says names can be null.
974200	977480	I don't know if it's null right now or not, but it can be.
979000	980520	So how do you access that?
980520	987080	One way to do that, like, the old way of doing that is to say if names is not null,
987960	991240	then length is names length, okay?
993240	997480	Final length is names length, okay?
997480	1002120	So that tells Dart that, look, I'm actually checking for null values,
1003080	1009640	or I'm checking that this list is not null on line 8, and if it is not null,
1010200	1012760	then I will access its length property.
1012760	1018360	And this is kind of, it's called type promotion, and type as in data type.
1019080	1024840	So in this case, you can see on line number 8, or now if I go and create a new line on
1024840	1030120	number, on line number 8 and I say names, this is an optional list
1030360	1039000	that can contain strings, and in here, you can see it is type as the same, but it is promoted
1039000	1045320	to not being null because you've already checked for it, because if you remove these lines of code,
1045320	1049640	you can see now that you get an error, the exact same line, but if you check first for null,
1049640	1052520	and you don't get the error, it's a type promotion, okay?
1053400	1055400	So this is kind of like the old way of doing that.
1055400	1060680	So let's say that you want to have, you want to extract the length, so you say final length,
1060680	1065080	or ints length, right? You create the variable, but you don't assign anything to it.
1066040	1070280	Then you say if names is not null, then the length is equal to the name's length.
1070280	1074520	Otherwise, length is zero, okay? So this is one way of doing that.
1075560	1077000	It's the old way of doing that.
1077160	1082760	And you may be trying to be smart as well and say, okay, I don't need this else statement if I just
1082760	1087960	say this is a variable, and by default, it's zero, and yeah, you would be right, because length is
1087960	1093160	zero by default, and then if names is not null, then you say, okay, length is equal to name's length.
1094200	1100920	However, there's a better way of doing that, and that is using the dot question mark,
1100920	1106200	I believe, or the question mark that actually it is, yeah, operator, which conditionally executes
1107080	1113800	or invokes a method or a property inside an optional if that optional value is present.
1114600	1117400	I'm going to show you how to do that. So if we say final length
1119960	1124280	is names, and then you would put question mark dot, and then you would say length,
1124280	1128200	and you would say, okay, length is equal to name's length, and then you would say
1128200	1132360	question mark dot, and then you would say length, and you would see this code being
1132360	1137960	executed without a problem. However, if you go here, you would see that length is an optional
1137960	1143240	value, is an optional integer. So you may be like, okay, how do I solve that? How do I say that
1145720	1157320	I want length to be zero if this length value is null, meaning that if the names list is null and
1157320	1162600	we can't extract the length, then I want this value to be set to null. And that is using our
1163160	1168440	question mark, question mark operator that we talked about, the null operator that we talked
1168440	1176520	about earlier, the infix operator. So you could just do this. You would say length is if the names
1176520	1182600	list is present, meaning that its value is not null, then grab its length. Otherwise, take the
1182600	1187960	value of zero and assign its length. And if you go to line number nine now and I say length, you can
1187960	1198360	see it's an integer. So it's not an optional integer anymore. So you could do the same thing
1198360	1203400	as well. Like you could say names, and you could do the same thing with properties, and you could
1203400	1211000	also do it for functions. So you can say names, add, adds, right? So you see this is a function
1211720	1218040	and then we're adding the value of bass to that list. However, you can't unconditionally invoke
1218040	1229160	this function on an optional value because it might be null. All right? So that is like a very,
1229160	1237240	very important bit of learning about darts, learning about optionals in darts, how you could use
1238200	1247960	nullable values. And as you will see, and we'll talk about more in this course, there is many
1247960	1257800	cases where you have to take into consideration null values. And especially if you're working
1257800	1263320	with different libraries where the library cannot make too many assumptions and your code is
1263320	1269240	dependent on that library and you will have to take into consideration, okay, the absence of
1269240	1276040	a value means that I personally have to take some decisions in my code consciously in order to
1276040	1281640	execute bits and pieces of code depending on the absence or presence of the value. So try to use
1281640	1289880	these optional null aware operators that I taught you here, which was the null aware, basically
1289880	1294040	the decision making to pick, like the in fix operator that tells you whether the left hand
1294040	1297880	side or the right hand side, depending on which one is not null first, it picks that one, okay?
1298440	1304920	That operator is very important and the all aware invocation operator, which is here, so you see
1304920	1312600	some object which may be null, then do something on it. Or the operator, which is a null aware
1312600	1317480	assignment operator that assigns the value on the right to the variable on the left should the
1317480	1322280	variable on the left be null, all right? So these are very, very important to understand.
1325640	1332760	Okay, now that we've talked about that, I'm going to take that in my notes that that is a topic we
1332760	1342760	talked about. Now, we also have very, very good official documentation about null safety in Dart.
1342760	1349320	So I'm going to bring up this documentation on a separate screen, and then I'm going to bring it
1349320	1357640	up here so you can actually see as well, all right? You can see here it says understanding
1357640	1365560	null safety, and this is great, great documentation about how null safety in Dart works. As you can
1365560	1372520	see, a lot of examples. I mean, it talks about like from the absolute beginning,
1373960	1381080	what it actually means, and you can see here null is at the level of object, so it's not,
1381080	1386120	null itself is not like an object. So you have lists and doubles and integers here,
1386120	1391320	but null sits on top for itself, kind of like the absence of a value.
1392040	1396920	So there's lots of examples in this link, and I highly encourage you to have a look at it.
1396920	1401560	Some things you may not understand, for instance, like this one, you will understand easily because
1401560	1406760	it says there is something called a thing, like a class, but we haven't talked about classes yet,
1407320	1413720	and it's name, parameter name here in this function called show gizmo is called thing,
1413800	1421560	show gizmo is called thing, and you can see it is conditionally accessing a property on that thing.
1424440	1432200	And then if that property in itself is null, it conditionally access that as well. So this
1432200	1436840	property is nullable, and then it's accessing another property inside that nullable property
1437560	1441960	if it's not null. So I mean, it's a great way you can chain them, as you can see here.
1442920	1448520	Then so if this thing is not null, then conditionally accesses this property on that.
1448520	1453160	So it's beautiful. I mean, and this thing is available on many other languages like Rust
1453160	1460120	and Swift as well. So it's nothing new, but it is kind of like such an important topic to understand
1460120	1464760	in Dart that I think you shouldn't just skim over it. So you should just really learn how to work
1464760	1475240	with it. All right. We've now talked about null values. So I'm going to take that in my notes
1475240	1483560	here. Now, I think for chapter five, this information is enough so that we can move on to
1484120	1491400	the next chapter. And in the next chapter, chapter number six, we're going to talk about some really,
1491400	1497880	really juicy stuff. And this is like chapter six is going to be like, as I can see in my notes,
1497880	1504280	I've pressed in a lot of really interesting topics such as enumerations, classes, objects,
1505160	1511000	custom operators, constructors, factory constructors, class methods, I mean, inheritance
1511000	1520920	and subclassing, abstract classes. So as you may have heard, depending on what background you have,
1520920	1526120	you may be like a product owner or product designer, a UXer or whatever. You may not have
1526120	1534680	like a software engineering background, but Dart in its core is an object-oriented programming
1534680	1541320	language. It means that things in Dart are objects. An object is an instance of a class,
1541320	1548360	as we'll talk about in the next chapter. So for you to understand Dart and how these things work,
1548360	1553080	for instance, we've talked about lists and actually typing dots in front of the name of
1553080	1557400	list and getting its length, but you may not really know how that works. So in order to
1557400	1562760	understand all those things, what that dot means, you need to understand what objects are. And in
1562760	1567880	order to understand objects, you need to know what classes are. And when you understand classes,
1567880	1573800	then you will learn about inheritance and then we'll talk about abstract classes, properties,
1573800	1580520	static functions, all that. So what we're going to talk about in chapter six is so important that
1580520	1586200	I believe that every Dart developer needs to know about this. And we're learning all of these things
1586200	1593720	to become good at doing Flutter. So although you can go and write like servers, maybe server
1593720	1598520	applications with Dart, or you could write command line applications with Dart, but these days,
1599160	1604840	Dart is primarily used for writing Flutter applications. And I don't have any data to
1604840	1609640	prove that, but I can see for myself when I'm in the community that most people are using Dart
1609640	1614920	primarily to write Flutter applications. So we're doing all of this to learn more about Flutter.
1614920	1618920	And I highly recommend that you don't skip these chapters where we're talking about Dart,
1618920	1624040	especially if you're new to Flutter development. So with that said, let's leave this chapter
1624040	1628520	the way it is right now. Chapter number five, we're done with that. Let's go to chapter number
1628520	1635320	six and learn about Dart enumerations and objects. Welcome to chapter six of this Flutter course.
1636040	1642920	In this chapter, we're going to talk about Dart enumerations and objects. These are some of my
1642920	1649560	favorite things to actually talk about. So in most programming languages, actually you have the same
1649560	1655480	facilities. So if you follow along with the other chapters, then you should have a working
1655480	1660600	Dart project set up now and maybe running in an emulator or a simulator so that you have
1660600	1665640	the ability to press command S on Mac or control S in Linux and Windows in order to rerun your
1666440	1672040	project. So without you having to pretty much do anything. So let's then get started. I'm just
1672040	1676680	going to make that assumption that you're already set with those requirements.
1678840	1686680	So let's start by talking about enumerations and I'm going to bring up the project from
1686680	1691320	the previous chapter. Let's just make sure that it's on the screen so you can easily see it.
1692120	1697640	Now I'm going to go to this list function that we created, remove the only parameter there and
1697640	1702520	remove that as well. So if I press command S now, nothing should happen on the screen because we
1702520	1708040	don't have any functionality in test. So let's talk about enumerations and what they actually are.
1708040	1714680	As you can see here, enumerations are named list of related items. Now, an enumeration is
1715240	1722360	kind of like equivalent of making a string written programmatically so that it becomes an entity.
1723320	1732600	And by that, I mean that let's say you have the value name and then you could say foo.
1733240	1739880	And you would also say const other name. That's also foo. They're both the same string, but they're
1739880	1745720	not the same identity in that. I mean, internally, actually, in terms of const, I don't want to go
1745720	1750120	too much into how the compiler actually works, but they're kind of going to be the same string.
1750680	1755480	But I mean that you've written it twice, so it's not the exact same thing. You have to write it
1755480	1764760	twice. So an enumeration tries to basically make sure that a value has a name that can be
1764760	1773160	programmatically referred to. So let's say enum, and that's a keyword in Dart. That's how you
1773160	1779400	create an enumeration. I'm going to take this that we've talked about some of the things
1779400	1784600	during the intro. Sorry about that. I have to look at my notes. Anyway, so we have the enum here.
1784600	1791080	That's how you create an enumeration in Dart. And you would then give a name to your enumeration.
1791080	1798040	And unlike variables and constants that are written with camel case, you'd have to basically use
1798040	1804040	another case in here, which is the first letter of every word in your enumeration's name has to be
1804040	1809880	uppercase, and the rest of the letters have to be lowercase. So let's in this case, for instance,
1809880	1817720	say person properties, the properties of any person. Then in this enum, you will write the
1817720	1824360	different properties, for instance, first name, last name, age. So what that basically means is
1824360	1830360	that you've now defined a list of related things, such as first name, last name, age, which are
1830360	1837400	categorized under a particular name, which in this case, person properties. And you can refer
1837400	1843960	to these in your code using the dot notation. So you can say person, properties, dot, first name.
1845160	1849880	And you can print it, actually. So I'm just going to press Command S and you can see it being printed
1849880	1858200	to the screen. So enumerations are really, really great as we go on in learning about Dart and how
1858200	1865320	Dart works, how we can work with Flutter, how we can parse data that comes back from a server,
1865320	1872440	for instance. But for now, it's enough for you to understand that you can categorize related items
1873480	1878280	under an enumeration so that you can refer to them later, okay? And in Dart, you can also get
1878280	1885400	the string representation of these values using their name property. That is something that's
1885400	1891320	created for you by default. So if you just say name, you now see first name being printed to
1891320	1897240	the screen as a string. But before that, if you printed the enumerations in on value here for
1897240	1905320	first name, it would print out the entire thing, okay? So that's short and sweet about enumerations.
1905320	1912120	We're going to use them quite a lot, actually, especially later where we go to more advanced
1912120	1918360	topics as we develop our real application. But for now, just know that this is how you create
1918360	1922360	an enumeration using the enum keyword and then the rest of the properties you just put in curly
1922360	1932600	brackets, okay? So that's for enumerations. Now we need to talk about switch statements. And
1932600	1937240	actually, let's bring this back and I'm going to change these two properties, let's say, okay?
1937240	1946120	And let's just say, for instance, animal type. And let's say cat, dog, and then let's say rabbit.
1950120	1958280	So let's say we have an animal type enumeration. And we want to, and then we, for instance, get
1958280	1964200	in our function, we say animal type, animal type. So there's a property that we expect
1964200	1969560	to be passed to our function called animal type and then we name that property animal type with
1969560	1974600	camel casing here, okay? So if we do that, then we go to our function here where we're calling
1974600	1978760	the function, you can see that we got an error, meaning that there is a parameter expected of type
1978760	1985720	animal type and no one's passing that. So at the call site, which is the place you're calling your
1985720	1991320	function, that's what a call site is known as in programming. So if you're coming from a background
1991320	1996440	of design or anything that is not software development related, so you wouldn't probably
1996440	2002440	know so much about this kind of lingo, but a call site is where you're calling a function. So
2002440	2009720	at this call site, number 19, we're then going to pass an animal type and let's just say
2010440	2016840	cat in this case, okay? So in here, we could just print that. I'm just going to say animal type.
2017400	2023000	I'm going to press command S and you can see cat being printed here, okay? Now, if you want to
2023000	2030840	execute different types of code depending on this animal type, then you could, which is not
2030840	2037080	recommended, you could use an if statement. So if you just said, if animal type is equal to animal
2037080	2050120	is equal to animal type cat, you'd say print all I love cats, okay? Else if animal type is animal
2052920	2059240	dog, then you would say print or you would say dogs are still fluffy or something.
2059240	2067800	And else if animal type is animal type
2070120	2079800	and I wish I had. All right, so this is using normal if statements. You say if animal type is
2079800	2086200	cat, then blah, blah, if blah, blah. Now, it is one way of doing it, but it's not the recommended
2086200	2089880	way of working with enumerations and the recommended way of working with enumeration,
2089880	2094680	especially if you're doing like branching code as we're doing here, is using a switch statement. So
2095240	2103160	let's convert this code to switch. So let's say switch. You put parenthesis, open, close,
2103160	2107800	and then open, close curly brackets. And in here, you would put your enumeration. So you say animal
2107800	2114040	type, okay? And the way to handle these different branches then is with the case keyword. You'd say
2114040	2124600	in the case of animal type, bunny, print bunny, something like this, okay? Case animal type,
2125640	2140600	cat, print cat. And case animal type, dog, print dog. Just like that, okay?
2141480	2147480	Now, this is I'm actually grateful that we're getting this error so you can clearly see what
2147480	2152520	it says. Is that the case should not complete normally, try adding break or return. Now,
2152520	2157320	what this is saying that you see in many programming languages, just like Dart,
2157320	2163000	when the program comes here to the case statement, it kind of like falls through to the next line.
2163000	2167960	And Dart tries to avoid that. So it says, okay, if I handle bunny, then I'm doing some stuff,
2167960	2172200	but it kind of feels like I'm falling down to the next line after this because you didn't tell me
2172200	2179160	what to do after the print statement. So you either tell me to completely go out of this function,
2179160	2184200	go out of the test function by putting the return keyword here. We haven't talked about return
2184200	2189560	really yet. But you could do that. You could just say, okay, return right after all of these. So
2189560	2194280	I'm just going to press command S, and you will see cats being printed to the screen, which is
2194280	2201400	here. But if you didn't have this return statement here, you would get an error. So you either say
2201400	2207240	return or you would use the break keyword. Now there's a difference between these. Let's put
2207240	2212760	a print statement here, and I'm going to say function is finished. So I'm kind of expecting
2212760	2222680	that by executing our code here, our test function here, passing the value of cat at the moment,
2222680	2228840	that we fall into the switch, we check that this is cat and then print the cat, and then we return.
2230040	2235320	This is kind of what it is doing. It means that it kind of skips over this print statement,
2235320	2239960	and you'll see soon. If I say command S, it will just say cat and then we'll return from that.
2240680	2245160	So this is not really what I wanted. I wanted this switch statement to be executed,
2245160	2250600	print cat, and then continue after switch. And that's where you use the break statement,
2250600	2256280	so or the keyword here. So if you say break, it breaks out of the switch statement and then
2256280	2261080	continues with the rest of the function as you would expect. So if I press command S here,
2261080	2268520	you say cat, and then function is finished. All right. So switch is the preferred way of working
2268520	2273800	with enumerations, especially if you're doing branches. So you could also like,
2274440	2286280	for instance, if in this case you said make sure this is a cat, you could also in this case say,
2286280	2295720	if animal type is not animal type, cat, and you would return. Okay? You could do this as well.
2295720	2300520	So this is kind of like a conditional statement that you're putting in the beginning of your
2300520	2308840	function, making sure that any code executed after line 10 is completely sure that the animal
2308840	2313880	type is a cat. Okay? So in that case, you may just use a typical if statement so you don't have to
2313880	2321240	do switches. Okay? But if you're trying to execute special pieces of code depending on
2321880	2327240	which value this enumeration contains at the moment, then I highly suggest that you use
2327240	2332920	switch statement instead of if statement. All right? So kind of depends on your use case.
2332920	2337960	All right? Okay. I'm just going to mark this item as done in my notes.
2339960	2345480	Now let's talk about classes. All right? Which is one of my favorite topics to talk about, actually.
2348440	2354440	Well, classes in Dart and in many other languages actually bring this back to
2354440	2360600	how it was before, make it a test function. All right? Remove the animal type from here.
2367480	2378040	So classes in Dart are grouping of various functionalities into one packageable piece
2378040	2385080	of data. And by that, I mean, for instance, let's say that you have a function called run,
2385720	2391640	another function called breathe, and then you have a person's first name, a person's last name.
2392520	2396920	Of course, you could go and define these things like this. You could say const first name,
2398600	2407480	const last name is something like this. Okay? Goes like that. And then you could have
2408120	2413560	a function, sorry, you would say run, and then you'd have another function called breathe.
2415960	2421160	And you could do that. But these are functions that are kind of like for us in this particular
2421160	2426920	case, or at least in my head at the moment, I am imagining these functions to be related to a person.
2428120	2431560	The person can run, that person can breathe, that person has a first and a last name. So
2431560	2439400	the grouping of these related things is done with a class in Dart, at least. So
2440280	2444600	the way to do that is you would say, for instance, class, which is a keyword in Dart.
2447720	2452200	The name of the class. Now, for the naming of classes and enumerations and any other
2453000	2459720	entity except for variables and constants, you should use just normal casing. I don't actually
2459720	2466120	know if it's called Pascal casing or I think so. But you would just use your uppercase,
2466120	2473320	the first letter of every word. Okay? So let's just say person. Okay? This is how you would say
2473320	2478920	a person class. All right? So I don't think actually we can put constants in there. I'm
2478920	2484440	just going to grab these two functions and just place them inside this person class. All right?
2485000	2492040	And let's in this, say, print, running, run function, and for breathing, we're going to say
2492040	2501080	breathing. All right? And in the test function, you would want to create something called an
2501080	2508920	instance of this class. Now, instances are objects, and objects are created from classes. So
2509080	2516840	you need to understand how instantiation works in software development. And this is for any
2516840	2525960	programming language such as Dart, Rust, Swift, Python, JavaScript, where they allow you to create
2525960	2533800	classes. And now that you know what a class is, in order to use a class, you need to usually
2534680	2538440	create something called an instance of that class. That means that you tell
2539000	2544200	the programming language that, okay, here is the class. I know about that. But give me a copy of
2544200	2552520	it. So every class can be instantiated, meaning that the Dart compiler will create a copy of that
2552520	2557480	exact class with its data, its functions, its properties, and give that copy to you. All right?
2558280	2566280	So that is called instantiation. And it works by using the equal sign and creating, putting
2566280	2571400	parentheses at the end of the name of the class, as I'll show you here. So let's just say final.
2572760	2577480	And we say person, which is the name of our variable in this case, is equal to,
2577480	2581800	as I said, equal sign. Then you would write the name of the class and parentheses just like that.
2582680	2588920	So now you said a person variable in this case is an instance of that person class. Now you'll
2588920	2595400	understand using dots and notation, you could say person dot run. You see? That function is now
2595400	2602680	available on your instance of the person class. And you would say person dot breathe. Okay? So
2602680	2610920	these are functions that are available at instance level of the person class. I know there's a lot
2610920	2616600	of words that I'm just talking about, but I think you understand the point here. So this is how you
2616600	2622520	instantiate the person class, and this is how you invoke various functions on that class. So if I
2622520	2629480	press command S, you can see it says running and breathing. If you said, in this case, person,
2629480	2636280	and then without instantiating using the parentheses, if you said breathe, you will get
2636280	2643400	an error here. Instance member breathe can't be accessed using static access. Okay? And that's,
